model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.8546994535519126,0.04846116565896131,0.8744297570384527,0.0572029876049418,0.7978835978835979,0.07265457732813492,0.9185796456629791,0.02084134422620415
Random Forest,0.8317486338797815,0.011366120218579223,0.8321357892482328,0.04420314864151249,0.7984126984126985,0.029525516250378196,0.9151081750040084,0.02349610372062603
SVM,0.848032786885246,0.041406344361699245,0.8516563146997929,0.05772095992988233,0.8126984126984127,0.05344046307788072,0.9028396564854898,0.02906062769555542
Decision Tree,0.7984699453551911,0.04672134343142741,0.8036129956999523,0.07059939232609738,0.7481481481481481,0.045326964906724554,0.8159708443562611,0.03750486970285619
